Season,Home,Away,Home_Code,Away_Code,Home_Goals,Away_Goals,Win_H,Lose_H,Draw_H,Win_A,Lose_A,Draw_A
2017 - 18,Stoke,Everton,16,7,1,2,0,1,0,1,0,0
2017 - 18,Huddersfield,Crystal Palace,8,6,0,2,0,1,0,1,0,0
2017 - 18,Bournemouth,West Brom,2,19,2,1,1,0,0,0,1,0
2017 - 18,Liverpool,Watford,10,18,5,0,1,0,0,0,1,0
2017 - 18,Stoke,Man City,16,11,0,2,0,1,0,1,0,0
2017 - 18,Arsenal,Watford,1,18,3,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Spurs,2,15,1,4,0,1,0,1,0,0
2017 - 18,Man Utd,Liverpool,12,10,2,1,1,0,0,0,1,0
2017 - 18,West Ham,Burnley,20,4,0,3,0,1,0,1,0,0
2017 - 18,West Brom,Leicester,19,9,1,4,0,1,0,1,0,0
2017 - 18,Newcastle,Southampton,13,14,3,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Swansea,8,17,0,0,0,0,1,0,0,1
2017 - 18,Everton,Brighton,7,3,2,0,1,0,0,0,1,0
2017 - 18,Chelsea,Crystal Palace,5,6,2,1,1,0,0,0,1,0
2017 - 18,Crystal Palace,Man Utd,6,12,2,3,0,1,0,1,0,0
2017 - 18,Brighton,Arsenal,3,1,2,1,1,0,0,0,1,0
2017 - 18,Man City,Chelsea,11,5,1,0,1,0,0,0,1,0
2017 - 18,Burnley,Everton,4,7,2,1,1,0,0,0,1,0
2017 - 18,Watford,West Brom,18,19,1,0,1,0,0,0,1,0
2017 - 18,Spurs,Huddersfield,15,8,2,0,1,0,0,0,1,0
2017 - 18,Swansea,West Ham,17,20,4,1,1,0,0,0,1,0
2017 - 18,Southampton,Stoke,14,16,0,0,0,0,1,0,0,1
2017 - 18,Leicester,Bournemouth,9,2,1,1,0,0,1,0,0,1
2017 - 18,Liverpool,Newcastle,10,13,2,0,1,0,0,0,1,0
2017 - 18,Arsenal,Man City,1,11,0,3,0,1,0,1,0,0
2017 - 18,Crystal Palace,Spurs,6,15,0,1,0,1,0,1,0,0
2017 - 18,Man Utd,Chelsea,12,5,2,1,1,0,0,0,1,0
2017 - 18,Leicester,Stoke,9,16,1,1,0,0,1,0,0,1
2017 - 18,West Brom,Huddersfield,19,8,1,2,0,1,0,1,0,0
2017 - 18,Liverpool,West Ham,10,20,4,1,1,0,0,0,1,0
2017 - 18,Burnley,Southampton,4,14,1,1,0,0,1,0,0,1
2017 - 18,Brighton,Swansea,3,17,4,1,1,0,0,0,1,0
2017 - 18,Bournemouth,Newcastle,2,13,2,2,0,0,1,0,0,1
2017 - 18,Watford,Everton,18,7,1,0,1,0,0,0,1,0
2017 - 18,Chelsea,West Brom,5,19,3,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Bournemouth,8,2,4,1,1,0,0,0,1,0
2017 - 18,Newcastle,Man Utd,13,12,1,0,1,0,0,0,1,0
2017 - 18,Southampton,Liverpool,14,10,0,2,0,1,0,1,0,0
2017 - 18,Everton,Crystal Palace,7,6,3,1,1,0,0,0,1,0
2017 - 18,Man City,Leicester,11,9,5,1,1,0,0,0,1,0
2017 - 18,Spurs,Arsenal,15,1,1,0,1,0,0,0,1,0
2017 - 18,West Ham,Watford,20,18,2,0,1,0,0,0,1,0
2017 - 18,Swansea,Burnley,17,4,1,0,1,0,0,0,1,0
2017 - 18,Stoke,Brighton,16,3,1,1,0,0,1,0,0,1
2017 - 18,Watford,Chelsea,18,5,4,1,1,0,0,0,1,0
2017 - 18,Crystal Palace,Newcastle,6,13,1,1,0,0,1,0,0,1
2017 - 18,Liverpool,Spurs,10,15,2,2,0,0,1,0,0,1
2017 - 18,Burnley,Man City,4,11,1,1,0,0,1,0,0,1
2017 - 18,West Brom,Southampton,19,14,2,3,0,1,0,1,0,0
2017 - 18,Man Utd,Huddersfield,12,8,2,0,1,0,0,0,1,0
2017 - 18,Leicester,Swansea,9,17,1,1,0,0,1,0,0,1
2017 - 18,Brighton,West Ham,3,20,3,1,1,0,0,0,1,0
2017 - 18,Bournemouth,Stoke,2,16,2,1,1,0,0,0,1,0
2017 - 18,Arsenal,Everton,1,7,5,1,1,0,0,0,1,0
2017 - 18,Southampton,Brighton,14,3,1,1,0,0,1,0,0,1
2017 - 18,Newcastle,Burnley,13,4,1,1,0,0,1,0,0,1
2017 - 18,Everton,Leicester,7,9,2,1,1,0,0,0,1,0
2017 - 18,Chelsea,Bournemouth,5,2,0,3,0,1,0,1,0,0
2017 - 18,Spurs,Man Utd,15,12,2,0,1,0,0,0,1,0
2017 - 18,Stoke,Watford,16,18,0,0,0,0,1,0,0,1
2017 - 18,Man City,West Brom,11,19,3,0,1,0,0,0,1,0
2017 - 18,West Ham,Crystal Palace,20,6,1,1,0,0,1,0,0,1
2017 - 18,Swansea,Arsenal,17,1,3,1,1,0,0,0,1,0
2017 - 18,Huddersfield,Liverpool,8,10,0,3,0,1,0,1,0,0
2017 - 18,Swansea,Liverpool,17,10,1,0,1,0,0,0,1,0
2017 - 18,Southampton,Spurs,14,15,1,1,0,0,1,0,0,1
2017 - 18,Brighton,Chelsea,3,5,0,4,0,1,0,1,0,0
2017 - 18,West Ham,Bournemouth,20,2,1,1,0,0,1,0,0,1
2017 - 18,Stoke,Huddersfield,16,8,2,0,1,0,0,0,1,0
2017 - 18,Leicester,Watford,9,18,2,0,1,0,0,0,1,0
2017 - 18,Everton,West Brom,7,19,1,1,0,0,1,0,0,1
2017 - 18,Burnley,Man Utd,4,12,0,1,0,1,0,1,0,0
2017 - 18,Arsenal,Crystal Palace,1,6,4,1,1,0,0,0,1,0
2017 - 18,Man City,Newcastle,11,13,3,1,1,0,0,0,1,0
2017 - 18,Man Utd,Stoke,12,16,3,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Arsenal,2,1,2,1,1,0,0,0,1,0
2017 - 18,Liverpool,Man City,10,11,4,3,1,0,0,0,1,0
2017 - 18,Crystal Palace,Burnley,6,4,1,0,1,0,0,0,1,0
2017 - 18,Chelsea,Leicester,5,9,0,0,0,0,1,0,0,1
2017 - 18,Spurs,Everton,15,7,4,0,1,0,0,0,1,0
2017 - 18,West Brom,Brighton,19,3,2,0,1,0,0,0,1,0
2017 - 18,Watford,Southampton,18,14,2,2,0,0,1,0,0,1
2017 - 18,Newcastle,Swansea,13,17,1,1,0,0,1,0,0,1
2017 - 18,Huddersfield,West Ham,8,20,1,4,0,1,0,1,0,0
2017 - 18,Spurs,West Ham,15,20,1,1,0,0,1,0,0,1
2017 - 18,Arsenal,Chelsea,1,5,2,2,0,0,1,0,0,1
2017 - 18,West Ham,West Brom,20,19,2,1,1,0,0,0,1,0
2017 - 18,Swansea,Spurs,17,15,0,2,0,1,0,1,0,0
2017 - 18,Southampton,Crystal Palace,14,6,1,2,0,1,0,1,0,0
2017 - 18,Man City,Watford,11,18,3,1,1,0,0,0,1,0
2017 - 18,Brighton,Bournemouth,3,2,2,2,0,0,1,0,0,1
2017 - 18,Stoke,Newcastle,16,13,0,1,0,1,0,1,0,0
2017 - 18,Leicester,Huddersfield,9,8,3,0,1,0,0,0,1,0
2017 - 18,Burnley,Liverpool,4,10,1,2,0,1,0,1,0,0
2017 - 18,Everton,Man Utd,7,12,0,2,0,1,0,1,0,0
2017 - 18,Crystal Palace,Man City,6,11,0,0,0,0,1,0,0,1
2017 - 18,West Brom,Arsenal,19,1,1,1,0,0,1,0,0,1
2017 - 18,Watford,Swansea,18,17,1,2,0,1,0,1,0,0
2017 - 18,Newcastle,Brighton,13,3,0,0,0,0,1,0,0,1
2017 - 18,Liverpool,Leicester,10,9,2,1,1,0,0,0,1,0
2017 - 18,Huddersfield,Burnley,8,4,0,0,0,0,1,0,0,1
2017 - 18,Chelsea,Stoke,5,16,5,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Everton,2,7,2,1,1,0,0,0,1,0
2017 - 18,Man Utd,Southampton,12,14,0,0,0,0,1,0,0,1
2017 - 18,Crystal Palace,Arsenal,6,1,2,3,0,1,0,1,0,0
2017 - 18,Newcastle,Man City,13,11,0,1,0,1,0,1,0,0
2017 - 18,Spurs,Southampton,15,14,5,2,1,0,0,0,1,0
2017 - 18,West Brom,Everton,19,7,0,0,0,0,1,0,0,1
2017 - 18,Watford,Leicester,18,9,2,1,1,0,0,0,1,0
2017 - 18,Man Utd,Burnley,12,4,2,2,0,0,1,0,0,1
2017 - 18,Huddersfield,Stoke,8,16,1,1,0,0,1,0,0,1
2017 - 18,Chelsea,Brighton,5,3,2,0,1,0,0,0,1,0
2017 - 18,Bournemouth,West Ham,2,20,3,3,0,0,1,0,0,1
2017 - 18,Liverpool,Swansea,10,17,5,0,1,0,0,0,1,0
2017 - 18,Stoke,West Brom,16,19,3,1,1,0,0,0,1,0
2017 - 18,Southampton,Huddersfield,14,8,1,1,0,0,1,0,0,1
2017 - 18,Man City,Bournemouth,11,2,4,0,1,0,0,0,1,0
2017 - 18,Brighton,Watford,3,18,1,0,1,0,0,0,1,0
2017 - 18,Burnley,Spurs,4,15,0,3,0,1,0,1,0,0
2017 - 18,Leicester,Man Utd,9,12,2,2,0,0,1,0,0,1
2017 - 18,Everton,Chelsea,7,5,0,0,0,0,1,0,0,1
2017 - 18,West Ham,Newcastle,20,13,2,3,0,1,0,1,0,0
2017 - 18,Swansea,Crystal Palace,17,6,1,1,0,0,1,0,0,1
2017 - 18,Arsenal,Liverpool,1,10,3,3,0,0,1,0,0,1
2017 - 18,Everton,Swansea,7,17,3,1,1,0,0,0,1,0
2017 - 18,West Brom,Man Utd,19,12,1,2,0,1,0,1,0,0
2017 - 18,Bournemouth,Liverpool,2,10,0,4,0,1,0,1,0,0
2017 - 18,Leicester,Crystal Palace,9,6,0,3,0,1,0,1,0,0
2017 - 18,Watford,Huddersfield,18,8,1,4,0,1,0,1,0,0
2017 - 18,Chelsea,Southampton,5,14,1,0,1,0,0,0,1,0
2017 - 18,Brighton,Burnley,3,4,0,0,0,0,1,0,0,1
2017 - 18,Arsenal,Newcastle,1,13,1,0,1,0,0,0,1,0
2017 - 18,Stoke,West Ham,16,20,0,3,0,1,0,1,0,0
2017 - 18,Man City,Spurs,11,15,4,1,1,0,0,0,1,0
2017 - 18,Swansea,Man City,17,11,0,4,0,1,0,1,0,0
2017 - 18,Southampton,Leicester,14,9,1,4,0,1,0,1,0,0
2017 - 18,Newcastle,Everton,13,7,0,1,0,1,0,1,0,0
2017 - 18,West Ham,Arsenal,20,1,0,0,0,0,1,0,0,1
2017 - 18,Spurs,Brighton,15,3,2,0,1,0,0,0,1,0
2017 - 18,Man Utd,Bournemouth,12,2,1,0,1,0,0,0,1,0
2017 - 18,Liverpool,West Brom,10,19,0,0,0,0,1,0,0,1
2017 - 18,Burnley,Stoke,4,16,1,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Chelsea,8,5,1,3,0,1,0,1,0,0
2017 - 18,Crystal Palace,Watford,6,18,2,1,1,0,0,0,1,0
2017 - 18,Southampton,Arsenal,14,1,1,1,0,0,1,0,0,1
2017 - 18,Liverpool,Everton,10,7,1,1,0,0,1,0,0,1
2017 - 18,Man Utd,Man City,12,11,1,2,0,1,0,1,0,0
2017 - 18,West Ham,Chelsea,20,5,1,0,1,0,0,0,1,0
2017 - 18,Spurs,Stoke,15,16,5,1,1,0,0,0,1,0
2017 - 18,Swansea,West Brom,17,19,1,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Brighton,8,3,2,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Bournemouth,6,2,2,2,0,0,1,0,0,1
2017 - 18,Burnley,Watford,4,18,1,0,1,0,0,0,1,0
2017 - 18,Newcastle,Leicester,13,9,2,3,0,1,0,1,0,0
2017 - 18,Bournemouth,Southampton,2,14,1,1,0,0,1,0,0,1
2017 - 18,Man City,West Ham,11,20,2,1,1,0,0,0,1,0
2017 - 18,Leicester,Burnley,9,4,1,0,1,0,0,0,1,0
2017 - 18,Everton,Huddersfield,7,8,2,0,1,0,0,0,1,0
2017 - 18,Brighton,Liverpool,3,10,1,5,0,1,0,1,0,0
2017 - 18,Arsenal,Man Utd,1,12,1,3,0,1,0,1,0,0
2017 - 18,Chelsea,Newcastle,5,13,3,1,1,0,0,0,1,0
2017 - 18,West Brom,Crystal Palace,19,6,0,0,0,0,1,0,0,1
2017 - 18,Watford,Spurs,18,15,1,1,0,0,1,0,0,1
2017 - 18,Stoke,Swansea,16,17,2,1,1,0,0,0,1,0
2017 - 18,Chelsea,Swansea,5,17,1,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Burnley,2,4,1,2,0,1,0,1,0,0
2017 - 18,Arsenal,Huddersfield,1,8,5,0,1,0,0,0,1,0
2017 - 18,Stoke,Liverpool,16,10,0,3,0,1,0,1,0,0
2017 - 18,Man City,Southampton,11,14,2,1,1,0,0,0,1,0
2017 - 18,Everton,West Ham,7,20,4,0,1,0,0,0,1,0
2017 - 18,Leicester,Spurs,9,15,2,1,1,0,0,0,1,0
2017 - 18,Brighton,Crystal Palace,3,6,0,0,0,0,1,0,0,1
2017 - 18,West Brom,Newcastle,19,13,2,2,0,0,1,0,0,1
2017 - 18,Watford,Man Utd,18,12,2,4,0,1,0,1,0,0
2017 - 18,Southampton,Everton,14,7,4,1,1,0,0,0,1,0
2017 - 18,Burnley,Arsenal,4,1,0,1,0,1,0,1,0,0
2017 - 18,Huddersfield,Man City,8,11,1,2,0,1,0,1,0,0
2017 - 18,Spurs,West Brom,15,19,1,1,0,0,1,0,0,1
2017 - 18,Swansea,Bournemouth,17,2,0,0,0,0,1,0,0,1
2017 - 18,Newcastle,Watford,13,18,0,3,0,1,0,1,0,0
2017 - 18,Man Utd,Brighton,12,3,1,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Stoke,6,16,2,1,1,0,0,0,1,0
2017 - 18,Liverpool,Chelsea,10,5,1,1,0,0,1,0,0,1
